PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster
-1.2729332536734177,-1.2277611750558983,-0.933379124740922,-0.6312872117495398,0.4753918278692604,-1.6228062425157486,-0.0147688081980168,0.4451186336640931,-0.2839062737107179,0.9147514335599772,0.9488729514501733,-0.0833008902673942,-0.3550787748350493,-1.7366691346426495,3
-1.739230089657081,1.6236481802300282,1.5600469587845518,1.4543990445949475,0.1717561128476387,0.4296524698238899,-0.5361983322808449,-0.3750778901961591,-0.2167895038677486,-0.3551781697677083,0.5046151974653686,-0.4521441443137033,0.6382213781284607,-1.6209563805886251,0
-2.4007740576539778,-1.3497347513700049,0.836123699176679,-0.1837791757477355,-0.6814190360476771,-1.5509183907871065,-1.5411986126492858,1.986676685398079,-1.5726867149860486,2.0118209860208984,-0.0481292436126755,0.0671066466583914,-0.3622060549815126,-0.3828843069530295,2
-2.0510115845353236,-1.3435177643742222,1.2395001247872823,-0.5039457508360496,0.4782701131878387,0.1146085453584529,-0.8136313779626528,-0.0113913270749481,2.7963091255069794,0.907916462251142,-1.519998464484331,0.2291289754995136,-0.9170697834069734,-0.1256283956278656,4
-2.690050802453882,-0.2550080941054722,0.9854155257534518,1.8956533639429445,0.1798370633918657,0.1211623213948304,-1.580094623041672,0.300915261109028,2.702681644049912,0.3142520496019762,-0.9711628801857812,-0.0284914630275544,-1.2609010295288128,0.552814148465149,4
-0.4626488663140499,1.418505328935325,0.2648127852618142,-1.3431333876562137,-0.3847580899129237,0.8847300875369714,-0.4136754118957798,0.1053559123918555,0.5438998692757667,0.0939017515973635,0.3779727917054609,-0.1731924646131885,0.1576475230953955,-1.914754670756579,3
-0.0894277474616185,-0.8221680819685638,-0.9984343694432292,1.9379163316765644,0.1323841550104656,-0.7137252373319841,-0.8586262206507029,1.9474526919729964,-0.7869019108725522,0.5058746113396696,0.4932198191562162,-0.5609425554965176,-0.0291892821964712,-2.482675423204813,0
-2.700336186468439,1.4583612980684864,1.342054128908439,0.8728483793554574,0.8645647178963788,2.439056766453199,-1.5335026254282134,-0.0081957377372004,0.824583970475893,0.3319695695767553,1.072977912197436,-0.1179334990357778,-0.1813449545634133,-1.743730866623529,0
-2.6440687092025135,-2.2287583309622025,0.6317144341603168,-0.2525358737373583,-1.5112204733615493,0.4917637335045939,-1.1387463111647471,1.4688146560520463,2.004863254418438,-0.5568749965491381,-0.9531262762969288,-0.5147554975022497,-0.8553156299876002,-0.295856762390777,4
-1.584143163047814,-0.5326672486814138,-0.7386067185568478,-1.4124562537207492,1.5960543529468616,-0.4258295084805538,1.447433088420459,-0.3525200437298463,0.4541552924735274,0.3359185448440941,-0.5333297065284686,0.1884646805454828,-0.4186835762040119,-1.488041543789263,3
1.597304547171441,-1.180105076635401,1.304155331648234,0.0338584617125159,1.2523841582468498,-0.1117357674492968,-1.4626214351132751,0.5717122445386011,-0.0215593807270084,-0.4008318325200528,0.3321249490884841,-1.0293850341368642,-0.4670763379571355,-1.8860543888630887,1
-2.045843107633022,0.6653309600195425,1.6453662794812445,-1.1634123638530425,-0.6445839811117222,3.3445429105120072,-0.0363289520840535,1.4401060846840528,-0.9648794534528984,-1.4762393190601883,1.5742418033040906,-0.1212808447506369,-0.7544686731275666,-2.400245028741152,6
1.970110754134246,-0.5623508131400147,0.3841984487375715,0.2532697045000788,0.2305839821644503,-0.7379524515758936,-1.0681908280209265,0.5225340194586672,0.5064836010293362,0.0626278598866641,0.4288712554552337,-0.5450865447947797,-0.2852845106108176,-1.9910067940928315,1
-1.8881603674053384,-0.2304230440380444,0.1780254427561354,-0.4050880692271844,1.514090039471311,-0.2282135735217614,0.0417540412148434,-0.2298869874963547,-0.9168344124671514,0.4064388220901528,0.2114469653763729,-0.0034697805209445,-0.0335590693436816,-1.1200937316571025,3
-2.4204709339904804,0.1807256030069691,2.173071090035446,-0.1595104279953623,0.2088704978594839,1.2539219577308085,-2.399883733404273,0.4861902005273671,1.5581315571387968,0.885865710544325,0.9473150520902996,-0.0364555352747231,-0.973452022335626,-0.4551784015894423,4
0.6042944930339622,-0.011326536807866,0.6056495330825178,1.8923045758083632,0.453158263373862,0.0816011914155332,-0.1687797266787152,-0.1960065168988425,0.1154317152158554,0.1885251140282184,-0.1424570247985235,-0.0854877746420718,-0.049237044314209,-1.4387435576508547,0
-2.1585981621602546,0.7253467020785028,3.489987741308146,-1.341022411420577,0.5821431372138064,0.3707974083317348,-1.3563093468084926,1.0867800537775836,-2.8957393271380214,0.169049200340866,0.5850330968454033,0.3774427991816088,0.6150570014839101,-0.3891200326435009,2
1.366714588490504,0.6228699645240714,0.7178505015743405,-0.6862334586312704,-0.0374963704338205,-0.0172340418239746,-0.2056357609354095,0.3644654272248908,0.9209550306144186,1.1294979587218563,-0.4972222765172807,0.076451199773958,-0.0698764718130755,-1.997774901442156,7
-0.9006655974504019,0.3289045726586957,-2.0180126358597303,-0.6306346416796311,-0.8612869704394179,-1.984019630855162,-1.30661325207339,2.1840621638021576,0.0355260068294267,-0.0892541111822819,-0.3752871983245488,0.0827050291234374,0.4558553116402682,-2.459342959067958,3
0.1847637049668848,-1.9858272706197,2.484867277004998,0.5454241948171874,-2.947677151963872,-3.759437366086948,1.0439962090565045,-0.9122890006924702,0.0646096963914797,3.64427911309661,6.016004006795356,0.0684197554671635,-0.7290199039918903,-1.155179972917732,5
-0.8744779880381659,0.4110694780421108,-0.5442529862167133,-1.4652500606228716,0.2140056543115955,-0.0654651827111618,-0.1985839438575108,-1.090533131162412,0.8921027752038154,0.472788332759881,-0.487284307770724,0.7662297935285073,-0.1844579336577442,-1.2442536916411575,3
-0.171528115394436,0.5759596440187669,-0.1499217283133521,-0.1681143673446842,-0.6476521516757463,-1.0863744629084562,0.1376320811827684,0.7749648537212386,0.603978403327351,0.1937007524208654,0.0230415211069564,-0.0665852838264894,0.0808265889331426,-1.6996680297072422,3
